file,account_kr,account_kr_clean,account_en
IS,I. 매출액,I. 매출액,Revenue
IS,제품매출액,제품매출액,Revenue
IS,기타매출액,기타매출액,Revenue
IS,II. 매출원가<주석14>,II. 매출원가,Cost of sales
IS,제품매출원가,제품매출원가,Cost of sales
IS,기초제품재고액,기초제품재고액,기초제품재고액
IS,당기제품제조원가,당기제품제조원가,당기제품제조원가
IS,타계정에서대체액,타계정에서대체액,타계정에서대체액
IS,기말제품재고액,기말제품재고액,기말제품재고액
IS,III. 매출총이익,III. 매출총이익,Gross profit
IS,IV. 판매비와관리비<주석14>,IV. 판매비와관리비,"Selling, general and administrative expenses"
IS,임원급여,임원급여,임원급여
IS,직원급여,직원급여,직원급여
IS,상여금,상여금,상여금
IS,퇴직급여,퇴직급여,퇴직급여
IS,복리후생비,복리후생비,복리후생비
IS,여비교통비,여비교통비,여비교통비
IS,접대비,접대비,접대비
IS,통신비,통신비,통신비
IS,수도광열비,수도광열비,수도광열비
IS,전력비,전력비,전력비
IS,세금과공과,세금과공과,세금과공과
IS,감가상각비<주석4>,감가상각비,감가상각비
IS,지급임차료,지급임차료,지급임차료
IS,보험료,보험료,보험료
IS,차량유지비,차량유지비,차량유지비
IS,운반비,운반비,운반비
IS,교육훈련비,교육훈련비,교육훈련비
IS,도서인쇄비,도서인쇄비,도서인쇄비
IS,소모품비,소모품비,소모품비
IS,지급수수료,지급수수료,지급수수료
IS,광고선전비,광고선전비,Advertising and promotion expenses
IS,대손상각비,대손상각비,대손상각비
IS,건물관리비,건물관리비,건물관리비
IS,판매대행수수료,판매대행수수료,판매대행수수료
IS,무형자산상각비<주석6>,무형자산상각비,무형자산상각비
IS,용역수수료,용역수수료,용역수수료
IS,리스료,리스료,리스료
IS,해외출장비,해외출장비,해외출장비
IS,Ⅴ. 영업이익,Ⅴ. 영업이익,Operating profit (loss)
IS,Ⅵ. 영업외수익,Ⅵ. 영업외수익,Ⅵ. 영업외수익
IS,이자수익,이자수익,이자수익
IS,외환차익,외환차익,외환차익
IS,외화환산이익<주석7>,외화환산이익,외화환산이익
IS,국고보조금수익,국고보조금수익,국고보조금수익
IS,잡이익,잡이익,잡이익
IS,Ⅶ. 영업외비용,Ⅶ. 영업외비용,Ⅶ. 영업외비용
IS,이자비용,이자비용,이자비용
IS,외환차손,외환차손,외환차손
IS,기부금,기부금,기부금
IS,재고자산감모손실,재고자산감모손실,Inventories
IS,유형자산처분손실,유형자산처분손실,유형자산처분손실
IS,잡손실,잡손실,잡손실
IS,Ⅷ. 법인세차감전순이익,Ⅷ. 법인세차감전순이익,Ⅷ. 법인세차감전순이익
IS,IX. 법인세 등,IX. 법인세 등,IX. 법인세 등
IS,X. 당기순이익,X. 당기순이익,X. 당기순이익
BS,자 산,자 산,자 산
BS,I. 유동자산,I. 유동자산,Current assets
BS,(1) 당좌자산,당좌자산,당좌자산
BS,현금및현금성자산<주석7>,현금및현금성자산,Cash and cash equivalents
BS,단기금융상품,단기금융상품,단기금융상품
BS,매출채권<주석7>,매출채권,매출채권
BS,대손충당금,대손충당금,대손충당금
BS,미수금,미수금,미수금
BS,선급금,선급금,선급금
BS,선급비용,선급비용,선급비용
BS,부가세대급금,부가세대급금,부가세대급금
BS,(2) 재고자산<주석5>,재고자산,Inventories
BS,제품,제품,제품
BS,원재료,원재료,원재료
BS,재고자산평가손실충당금,재고자산평가손실충당금,Inventories
BS,II. 비유동자산,II. 비유동자산,Current assets
BS,(1) 투자자산,투자자산,투자자산
BS,장기금융상품,장기금융상품,장기금융상품
BS,"(2) 유형자산<주석4,5,8,15>",유형자산,유형자산
BS,토지,토지,토지
BS,건물,건물,건물
BS,감가상각누계액,감가상각누계액,감가상각누계액
BS,기계장치,기계장치,기계장치
BS,차량운반구,차량운반구,차량운반구
BS,비품,비품,비품
BS,국고보조금,국고보조금,국고보조금
BS,금형,금형,금형
BS,시설장치,시설장치,시설장치
BS,(3) 무형자산<주석6>,무형자산,무형자산
BS,영업권,영업권,영업권
BS,특허권,특허권,특허권
BS,상표권,상표권,상표권
BS,실용신안권,실용신안권,실용신안권
BS,개발비,개발비,개발비
BS,소프트웨어,소프트웨어,소프트웨어
BS,(4) 기타비유동자산,기타비유동자산,Current assets
BS,임차보증금,임차보증금,임차보증금
BS,기타보증금<주석7>,기타보증금,기타보증금
BS,자 산 총 계,자 산 총 계,자 산 총 계
BS,부 채,부 채,Total liabilities
BS,I. 유동부채,I. 유동부채,Current liabilities
BS,매입채무<주석17>,매입채무,매입채무
BS,"단기차입금<주석8,13,15,17>",단기차입금,Short-term borrowings
BS,"유동성장기부채<주석8,13,15,17>",유동성장기부채,Total liabilities
BS,"미지급금<주석13,17>",미지급금,미지급금
BS,미지급비용<주석17>,미지급비용,미지급비용
BS,예수금,예수금,예수금
BS,선수금,선수금,선수금
BS,당기법인세부채,당기법인세부채,Total liabilities
BS,II. 비유동부채,II. 비유동부채,Current liabilities
BS,"장기차입금<주석8,13,15,17>",장기차입금,장기차입금
BS,퇴직급여충당부채<주석9>,퇴직급여충당부채,Total liabilities
