year,statement,account_en,amount
2024,IS,Revenue,93461332576.0
2024,IS,Revenue,93444781356.0
2024,IS,Revenue,16551220.0
2024,IS,Cost of sales,14797416969.0
2024,IS,Cost of sales,14797416969.0
2024,IS,기초제품재고액,721842283.0
2024,IS,당기제품제조원가,20652751682.0
2024,IS,타계정에서대체액,777132040.0
2024,IS,기말제품재고액,-7354309036.0
2024,IS,Gross profit,78663915607.0
2024,IS,"Selling, general and administrative expenses",76245651822.0
2024,IS,임원급여,97978530.0
2024,IS,직원급여,2135751231.0
2024,IS,상여금,52993010.0
2024,IS,퇴직급여,159883932.0
2024,IS,복리후생비,200856148.0
2024,IS,여비교통비,30721199.0
2024,IS,접대비,16826544.0
2024,IS,통신비,7387979.0
2024,IS,수도광열비,434940.0
2024,IS,전력비,9249035.0
2024,IS,세금과공과,115937989.0
2024,IS,감가상각비,213653566.0
2024,IS,지급임차료,194376928.0
2024,IS,보험료,62236710.0
2024,IS,차량유지비,20544179.0
2024,IS,운반비,226306982.0
2024,IS,도서인쇄비,1056037.0
2024,IS,소모품비,175279971.0
2024,IS,지급수수료,1297047625.0
2024,IS,Advertising and promotion expenses,63811033188.0
2024,IS,대손상각비,54314754.0
2024,IS,건물관리비,240557749.0
2024,IS,판매대행수수료,6237856656.0
2024,IS,무형자산상각비,765085072.0
2024,IS,리스료,34786028.0
2024,IS,해외출장비,83495840.0
2024,IS,Operating profit (loss),2418263785.0
2024,IS,Ⅵ. 영업외수익,406105576.0
2024,IS,이자수익,6560518.0
2024,IS,외환차익,122971456.0
2024,IS,외화환산이익,66925892.0
2024,IS,국고보조금수익,44201560.0
2024,IS,잡이익,165446150.0
2024,IS,Ⅶ. 영업외비용,1541579552.0
2024,IS,이자비용,1500282860.0
2024,IS,외환차손,7531925.0
2024,IS,기부금,27180000.0
2024,IS,잡손실,6584767.0
2024,IS,Ⅷ. 법인세차감전순이익,1282789809.0
2024,IS,IX. 법인세 등,44463192.0
2024,IS,X. 당기순이익,1238326617.0
2023,IS,Revenue,86891072294.0
2023,IS,Revenue,86878106426.0
2023,IS,Revenue,12965868.0
2023,IS,Cost of sales,19231077298.0
2023,IS,Cost of sales,19231077298.0
2023,IS,기초제품재고액,671512905.0
2023,IS,당기제품제조원가,18650937902.0
2023,IS,타계정에서대체액,630468774.0
2023,IS,기말제품재고액,-721842283.0
2023,IS,Gross profit,67659994996.0
2023,IS,"Selling, general and administrative expenses",61511050753.0
2023,IS,임원급여,305103030.0
2023,IS,직원급여,1497372351.0
2023,IS,상여금,6000000.0
2023,IS,퇴직급여,196540360.0
2023,IS,복리후생비,199553878.0
2023,IS,여비교통비,13573526.0
2023,IS,접대비,57509328.0
2023,IS,통신비,6737807.0
2023,IS,세금과공과,84270910.0
2023,IS,감가상각비,67257544.0
2023,IS,지급임차료,47378988.0
2023,IS,보험료,66794443.0
2023,IS,차량유지비,15303932.0
2023,IS,운반비,231581935.0
2023,IS,교육훈련비,80000.0
2023,IS,도서인쇄비,1091052.0
2023,IS,소모품비,57227459.0
2023,IS,지급수수료,600025803.0
2023,IS,Advertising and promotion expenses,47320588597.0
