corp_code,bsns_year,reprt_code,sj_div,sj_nm,account_id,account_nm,thstrm_amount,thstrm_add_amount,frmtrm_amount,bfefrmtrm_amount,currency,corp_name,stock_code
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentAssets,유동자산,2018526858100.0,,1825732428259.0,1803063670498.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CashAndCashEquivalents,현금및현금성자산,537693630647.0,,793728286323.0,673580375450.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,101825500000.0,,57882300000.0,70600000000.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,490839332272.0,,166463243160.0,137522926040.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_ShortTermTradeReceivable,매출채권,295769466239.0,,283770117119.0,365884445662.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,41647242846.0,,24723686702.0,32485367549.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentTaxAssets,당기법인세자산,3330887323.0,,19235955917.0,4014569938.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_OtherCurrentAssets,기타유동자산,50130929669.0,,65445877705.0,66386913917.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_Inventories,재고자산,493223642997.0,,414482961333.0,452589071942.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정자산,4066226107.0,,,,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentAssets,비유동자산,4098187074812.0,,3876185747488.0,4185944120149.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_LongTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,19512730100.0,,17556864840.0,16425521080.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타수취채권,115162575008.0,,100546922493.0,145164887090.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,104256383649.0,,1128984127.0,4118831930.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,811274982.0,,2125074983.0,2131335000.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,4672325200.0,,705503210.0,1113546260.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_PropertyPlantAndEquipment,유형자산,2541362150975.0,,2566328198231.0,2661841508240.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_InvestmentProperty,투자부동산,534228580408.0,,488815300039.0,493010504975.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_RightofuseAssets,사용권자산,146465714306.0,,227453263601.0,432396245094.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,201680029794.0,,208773970177.0,226517106409.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_InvestmentsInAssociates,관계기업주식,238445368790.0,,52514140370.0,2160253079.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,-Standard account code not used-,순확정급여자산,94729521034.0,,110633427860.0,106098704183.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_DeferredTaxAssets,이연법인세자산,84608399877.0,,82890358531.0,72704996238.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_OtherNonCurrentAssets,기타비유동자산,12252020689.0,,16713739026.0,22260680571.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_Assets,자산총계,6116713932912.0,,5701918175747.0,5989007790647.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentLiabilities,유동부채,1157485393842.0,,965946712547.0,1066567435582.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_ShortTermTradePayables,매입채무,123410292397.0,,117617730697.0,172459191473.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_ShorttermBorrowings,단기차입금,199124082671.0,,154160189044.0,99346553098.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_TradeAndOtherCurrentPayables,기타지급채무,324998426639.0,,275762504709.0,264808700940.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentTaxLiabilities,당기법인세부채,89962740389.0,,6097005496.0,67399350946.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentContractLiabilities,계약부채,37465486262.0,,42275345834.0,50058558388.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentProvisions,기타충당부채,8906185258.0,,8652202062.0,12871685529.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_CurrentLeaseLiabilities,리스유동부채,94760913961.0,,132867105541.0,197591533621.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_OtherCurrentLiabilities,기타유동부채,278857266265.0,,228514629164.0,202031861587.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentLiabilities,비유동부채,214928661448.0,,271573719005.0,423599551940.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,-Standard account code not used-,순확정급여부채,4059129237.0,,3831674238.0,3424822481.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_DeferredTaxLiabilities,이연법인세부채,79488075447.0,,90075514181.0,101731472413.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentProvisions,기타충당부채,11556811260.0,,18617523307.0,19135594489.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_NoncurrentLeaseLiabilities,리스비유동부채,96221153680.0,,133748488854.0,267922153243.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,dart_OtherNonCurrentLiabilities,기타비유동부채,23603491824.0,,25300518425.0,31385509314.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_Liabilities,부채총계,1372414055290.0,,1237520431552.0,1490166987522.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,4761008405615.0,,4467854044953.0,4489496528903.0,KRW,아모레퍼시픽,090430
00583424,2021,11011,BS,Statement of financial position,ifrs-full_IssuedCapital,자본금,34525294500.0,,34508160000.0,34508160000.0,KRW,아모레퍼시픽,090430
