rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,source,requested_fs_div,requested_reprt_code,requested_sj_div,peer_stock_code,peer_corp_name
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_CurrentAssets,유동자산,-,Term 15,1825732428259,Term 14,1803063670498,Term 13,1567235920188,1,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,Term 15,793728286323,Term 14,673580375450,Term 13,735510637941,2,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,Term 15,57882300000,Term 14,70600000000,Term 13,15100000000,3,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,-,Term 15,166463243160,Term 14,137522926040,Term 13,0,4,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,-,Term 15,0,Term 14,0,Term 13,30000000000,5,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,dart_ShortTermTradeReceivable,매출채권,-,Term 15,283770117119,Term 14,365884445662,Term 13,286688931692,6,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,-,Term 15,24723686702,Term 14,32485367549,Term 13,31274766157,7,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_CurrentTaxAssets,당기법인세자산,-,Term 15,19235955917,Term 14,4014569938,Term 13,4286808310,8,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,dart_OtherCurrentAssets,기타유동자산,-,Term 15,65445877705,Term 14,66386913917,Term 13,61069998973,9,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
20210311000870,11011,2020,00583424,BS,Statement of financial position,ifrs-full_Inventories,재고자산,-,Term 15,414482961333,Term 14,452589071942,Term 13,403304777115,10,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,CF,090430,아모레퍼시픽
