rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,source,requested_fs_div,requested_reprt_code,requested_sj_div,peer_stock_code,peer_corp_name
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_CurrentAssets,유동자산,-,Term 7,62817954586,Term 6,47475785739,Term 5,44799712618,1,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,Term 7,29618192919,Term 6,17454914496,Term 5,8900968698,2,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,Term 7,10599063509,Term 6,9721698135,Term 5,10906863374,3,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,Term 7,16148060,Term 6,2980327418,Term 5,188392057,4,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,dart_OtherCurrentAssets,기타유동자산,-,Term 7,3141874298,Term 6,1052428167,Term 5,2785300487,5,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_Inventories,재고자산,-,Term 7,18560580552,Term 6,16099123190,Term 5,21854204841,6,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_CurrentTaxAssets,당기법인세자산,-,Term 7,882095248,Term 6,167294333,Term 5,163983161,7,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_NoncurrentAssets,비유동자산,-,Term 7,29010706735,Term 6,13049423769,Term 5,13264308272,8,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,Term 7,0,Term 6,0,Term 5,577011035,9,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
20210331000895,11011,2020,01190568,BS,Statement of financial position,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,Term 7,4261695166,Term 6,2482360241,Term 5,3375956140,10,KRW,,opendart_fnlttSinglAcntAll,CFS,11011,BS,278470,에이피알
